N,Approx_Area_Wide,Approx_Area_Narrow,Error_Wide,Error_Narrow
88100,0.9444821519252463,0.9444857353973802,0.001889684992449996,0.0015102808491025378
89100,0.9445171951059873,0.9444746253542475,0.0018205511897617678,0.0026865691638405446
90100,0.9445032341220759,0.9444925622150878,0.0003424163129617312,0.0007874838445939467
91100,0.9445320926402868,0.9445141868789478,0.0033978443924623757,0.0015020517679015936
92100,0.9444768665640355,0.9445035273143608,0.0024492785563255946,0.0003734583759468844
93100,0.9444892613068824,0.9444795862802765,0.0011369712141481188,0.0021613255398094146
94100,0.9444872176395226,0.9445028227684178,0.0013533467948559721,0.00029886378166090843
95100,0.9444525422762333,0.9445062473860595,0.005024639890596741,0.0006614490269430328
96100,0.9445095522670021,0.9444857442349,0.0010113570145108904,0.0015093451667609781
97100,0.9445083776623653,0.9445024666367087,0.0008869944272395547,0.00026115793633293147
98100,0.944500163260106,0.944500929230676,1.7285347378482894e-05,9.83833431404107e-05
99100,0.9444925480941192,0.9444818461759572,0.0007889789180313885,0.0019220565423821274
